City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
378,Guymon,US,36.6828,-101.4816,75.2,12,0,24.9,clear sky
379,Marienburg,PL,54.0359,19.0266,49.87,90,12,8.93,few clouds
380,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.45,85,16,9.4,few clouds
381,Ati,TD,13.2154,18.3353,96.75,21,62,5.28,broken clouds
382,Teknaf,BD,20.8624,92.3058,79.57,89,3,1.5,clear sky
383,Alta Floresta,BR,-9.8756,-56.0861,89.42,62,40,2.3,scattered clouds
384,Kovdor,RU,67.5662,30.4758,34.07,77,100,2.21,overcast clouds
385,Denpasar,ID,-8.65,115.2167,82.06,88,20,6.91,few clouds
386,Mbandaka,CD,0.0487,18.2603,72.82,93,99,5.57,light rain
387,Shahrud,IR,36.4182,54.9763,61.99,57,67,7.9,broken clouds
388,Mar Del Plata,AR,-38.0023,-57.5575,74.95,49,0,28.77,clear sky
389,Ylivieska,FI,64.0833,24.55,40.87,88,87,3.98,overcast clouds
390,Roebourne,AU,-20.7833,117.1333,80.44,41,5,6.76,clear sky
391,Husavik,IS,66.0449,-17.3389,51.58,59,12,2.64,few clouds
392,Sinnamary,GF,5.3833,-52.95,78.39,87,98,5.3,overcast clouds
393,Saint-Paul,RE,-21.0096,55.2707,75.36,77,96,2.51,light rain
394,Xining,CN,36.6167,101.7667,42.93,87,100,2.04,light rain
395,Las Palmas,ES,28.4204,-14.0131,68.79,46,40,11.5,scattered clouds
396,Iralaya,HN,15.0,-83.2333,81.45,76,52,7.49,broken clouds
397,Methven,NZ,-43.6333,171.65,50.97,73,77,9.37,broken clouds
398,Batagay,RU,67.6333,134.6333,0.25,100,95,1.59,overcast clouds
399,Lhokseumawe,ID,5.1801,97.1507,79.61,85,40,5.48,scattered clouds
400,Korla,CN,41.7597,86.1469,69.48,20,75,2.62,broken clouds
401,Khorixas,NA,-20.3667,14.9667,74.62,39,9,14.72,clear sky
402,Kununurra,AU,-15.7667,128.7333,66.18,94,57,0.0,broken clouds
403,Zhigansk,RU,66.7697,123.3711,3.52,99,53,7.2,broken clouds
404,Panaba,MX,21.2833,-88.2667,96.1,29,3,10.09,clear sky
405,Alice Springs,AU,-23.7,133.8833,69.22,32,40,6.91,scattered clouds
406,Casa Grande,US,32.8795,-111.7573,75.97,19,0,4.0,clear sky
